episode,reward,M
988,1300.2841151531059,8
1822,888.4061031837422,8
2481,1262.038270130881,8
740,1004.4454445556565,8
581,1340.2792920191298,8
556,1451.1204795008352,8
1985,1603.1985100088468,8
218,1224.0864780396512,8
543,1631.7168568646298,8
2451,1718.6663612523919,8
192,1166.0970261629911,8
838,1383.2911373868615,8
623,1501.883192745688,8
226,1188.4777284801828,8
839,1213.2666037655795,8
385,1208.8628958559614,8
1183,1357.8090354246797,8
834,1740.5988266280865,8
9,1252.6341186044092,8
348,798.796196301251,8
1355,1573.2683304777654,8
200,1323.0161719972546,8
1552,1212.7278966096092,8
605,1338.4427827220666,8
822,1219.2345007848942,8
2315,1192.9876210926766,8
58,1156.5600713859126,8
601,1236.4556626131216,8
211,1230.9091167927756,8
748,1360.4323865250988,8
628,1450.2523908315309,8
414,820.0556089473262,8
1409,1680.5160013877614,8
945,928.2511770725308,8
429,1159.9624167883494,8
314,1370.0203627866513,8
1094,1388.8710803102474,8
288,1772.5104393109982,8
1914,1200.5849148608106,8
886,1106.9085841006574,8
2028,1682.0573258676864,8
844,1036.0134634237954,8
1873,944.8249788431868,8
1456,1371.9280878483555,8
2360,1251.0049937054505,8
490,663.7549528340131,16
651,692.9251015956182,16
2230,1653.3210723216755,16
1667,1568.60510491921,16
732,819.4050328771158,16
524,908.6828116363076,16
1712,1270.9344611638676,16
1510,851.0552443402273,16
327,1538.9612447973511,16
2357,736.143386303818,16
736,1400.980632343902,16
456,1103.204752612773,16
279,798.9897505819866,16
319,1181.1877764776466,16
1940,1612.9049343094462,16
587,1025.396377548296,16
1821,874.7068654059723,16
816,1386.1516064197015,16
619,1190.8196154930706,16
2,676.0933387261774,16
195,1464.7995022781486,16
967,1411.642209270752,16
782,1168.5051417944528,16
190,910.2425704135388,16
1399,812.7735388067763,16
91,1325.8598564829815,16
1010,1647.2122136386645,16
2281,1216.1796542945365,16
411,1528.349278515631,16
983,981.2660110028903,16
773,1393.0414112429314,16
2272,1147.094229717302,16
612,641.3165145927885,16
2066,1682.348341104177,16
1221,1355.5803002875884,16
1792,1048.9062406326118,16
1744,906.3810431021002,16
1426,899.9913590638812,16
1156,1106.9091413554038,16
946,1527.120041525445,16
748,849.2677314233509,16
1557,1468.7038594518494,16
2499,1104.701925083108,16
602,1096.8884555009456,16
1583,1476.2940245988943,16
617,1206.8440827271456,16
314,772.0540493366133,16
1693,1424.3151877645969,16
1295,1089.6925957935111,16
2213,953.4256701553927,16
1727,1093.907453812853,16
470,727.3274235547898,16
676,684.4639956995792,16
703,1387.8985506540125,16
924,1091.4829737400646,16
305,893.1376186247536,16
715,1144.422909095358,16
714,1343.0227420753708,16
2412,1474.954728024872,16
490,1429.2105937020158,32
1089,968.6854072310597,32
241,1145.93271122205,32
1249,824.9351352151514,32
1101,1054.1690512316427,32
1539,1077.4823395030883,32
252,941.2466356608664,32
1529,1125.4499767607351,32
1926,1418.6444112720444,32
536,404.1265681921209,32
899,721.0929401000196,32
395,1073.3726111833141,32
95,788.8639944609697,32
817,654.7030322311922,32
807,1105.8027656691038,32
151,1062.380119222275,32
5,971.5995749413287,32
2243,1065.688102119827,32
781,1021.0196059358676,32
940,612.8746823145917,32
610,1282.9572940959595,32
